subtype	FDR	geom_mean_c1	geom_mean_c2	fold_change	probe_set	description	gene_symbol
CD-2	< 1e-07	49.3380291	0.6290898	78.4276405	208711_s_at	cyclin D1	CCND1
CD-2	< 1e-07	34.2923882	0.656892	52.2039943	228592_at	"membrane-spanning 4-domains, subfamily A, member 1"	MS4A1
CD-2	< 1e-07	23.8902007	0.685734	34.8388741	208712_at	cyclin D1	CCND1
CD-2	< 1e-07	15.2245826	0.7234653	21.043972	223823_at	"potassium large conductance calcium-activated channel, subfamily M, beta member 2"	KCNMB2
CD-2	< 1e-07	12.9579155	0.7374636	17.5709229	235518_at	"solute carrier family 8 (sodium/calcium exchanger), member 1"	SLC8A1
CD-2	< 1e-07	10.3334082	0.7575749	13.6401139	220068_at	pre-B lymphocyte gene 3	VPREB3
CD-2	< 1e-07	10.233662	0.758449	13.4928807	210356_x_at	"membrane-spanning 4-domains, subfamily A, member 1"	MS4A1
CD-2	< 1e-07	10.0060668	0.7604796	13.157574	228599_at	"membrane-spanning 4-domains, subfamily A, member 1"	MS4A1
CD-2	< 1e-07	9.7676621	0.7626628	12.8073138	225842_at	"pleckstrin homology-like domain, family A, member 1"	PHLDA1
CD-2	< 1e-07	9.5695899	0.7645225	12.51708	221969_at	Transcribed locus	
CD-2	< 1e-07	8.741967	0.7727881	11.3122429	217418_x_at	"membrane-spanning 4-domains, subfamily A, member 1"	MS4A1
CD-2	< 1e-07	8.533037	0.7750137	11.0101761	217996_at	"pleckstrin homology-like domain, family A, member 1"	PHLDA1
CD-2	< 1e-07	8.1101177	0.7797113	10.4014366	221097_s_at	"potassium large conductance calcium-activated channel, subfamily M, beta member 2"	KCNMB2
CD-2	< 1e-07	8.0296962	0.7806356	10.2861003	227948_at	"FYVE, RhoGEF and PH domain containing 4"	FGD4
CD-2	< 1e-07	7.5346911	0.7865629	9.5792605	206385_s_at	"ankyrin 3, node of Ranvier (ankyrin G)"	ANK3
CD-2	< 1e-07	7.5244854	0.7866897	9.5647438	231093_at	Fc receptor-like 3	FCRL3
CD-2	< 1e-07	7.4922987	0.7870907	9.5189777	236065_at	Transcribed locus	
CD-2	< 1e-07	7.208593	0.790711	9.1165965	224818_at	sortilin 1	SORT1
CD-2	< 1e-07	6.1418	0.80591	7.6209505	212807_s_at	sortilin 1	SORT1
CD-2	< 1e-07	5.9483087	0.8089827	7.3528256	238452_at	Fc receptor-like B	FCRLB
CD-2	< 1e-07	5.8770001	0.8101434	7.2542713	243780_at	"CDNA FLJ46553 fis, clone THYMU3038879"	
CD-2	< 1e-07	5.842093	0.8107174	7.2060784	201721_s_at	lysosomal associated multispanning membrane protein 5	LAPTM5
CD-2	< 1e-07	5.8331758	0.8108646	7.1937727	217997_at	"pleckstrin homology-like domain, family A, member 1"	PHLDA1
CD-2	< 1e-07	5.6514876	0.8139206	6.9435366	206150_at	CD27 molecule	CD27
CD-2	< 1e-07	5.106778	0.8237865	6.199152	205049_s_at	"CD79a molecule, immunoglobulin-associated alpha"	CD79A
CD-2	< 1e-07	4.9586269	0.8266747	5.9982805	225897_at	myristoylated alanine-rich protein kinase C substrate	MARCKS
CD-2	0.0000067	4.8864053	0.8281179	5.9006154	221933_at	"neuroligin 4, X-linked"	NLGN4X
CD-2	< 1e-07	4.7380153	0.8311594	5.7004891	1558662_s_at	B-cell scaffold protein with ankyrin repeats 1	BANK1
CD-2	0.0000036	4.7265825	0.8313982	5.685101	210258_at	regulator of G-protein signaling 13	RGS13
CD-2	< 1e-07	4.3968018	0.8385774	5.2431675	225955_at	"meteorin, glial cell differentiation regulator-like /// similar to meteorin, glial cell differentiation regulator-like"	LOC653506 /// METRNL
CD-2	< 1e-07	4.3662392	0.8392731	5.2024057	218909_at	"ribosomal protein S6 kinase, 52kDa, polypeptide 1"	RPS6KC1
CD-2	< 1e-07	4.3109331	0.8405459	5.1287299	228153_at	ring finger 144B	RNF144B
CD-2	< 1e-07	4.2947309	0.8409223	5.1071674	219667_s_at	B-cell scaffold protein with ankyrin repeats 1	BANK1
CD-2	< 1e-07	4.2549484	0.8418532	5.0542643	235802_at	"phospholipase D family, member 4"	PLD4
CD-2	0.0000067	4.2325897	0.8423806	5.0245574	1563674_at	Fc receptor-like 2	FCRL2
CD-2	< 1e-07	4.1815663	0.843596	4.9568349	205997_at	ADAM metallopeptidase domain 28	ADAM28
CD-2	< 1e-07	4.0951553	0.8456928	4.8423677	225188_at	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1	RAPH1
CD-2	< 1e-07	4.0673025	0.8463792	4.8055323	235735_at	Full length insert cDNA clone ZC64D04	
CD-2	< 1e-07	4.064549	0.8464473	4.8018925	218051_s_at	5'-nucleotidase domain containing 2	NT5DC2
CD-2	0.0000095	4.0569903	0.8466346	4.7919021	209696_at	"fructose-1,6-bisphosphatase 1"	FBP1
CD-2	< 1e-07	3.9865997	0.8483981	4.6989729	209289_at	nuclear factor I/B	NFIB
CD-2	< 1e-07	3.980684	0.8485479	4.6911718	1559975_at	"B-cell translocation gene 1, anti-proliferative"	BTG1
